first_name,last_name,birthday_formatted,above_18,membership_id
William,Dixon,19860110,true,Dixon_3864b
Kristen,Horn,19740910,true,Horn_17277
Kimberly,Chang,19740227,true,Chang_d3c7b
Mary,Ball,19680205,true,Ball_f4f07
Benjamin,Craig,19881211,true,Craig_019ec
Cathy,Werner,20180925,false,Werner_0523c
Brandon,Bell,19611027,true,Bell_a05f5
Paul,Farley,19801122,true,Farley_ad4d0
Sarah,Mcdaniel,20170426,false,Mcdaniel_483ee
Caroline,Anderson,19880227,true,Anderson_19b26
Carl,Jones,19930621,true,Jones_8e15d
Scott,Lee,20100712,false,Lee_ef9ee
Kaylee,Coleman,20091008,false,Coleman_fb83f
Charles,Parker,19801220,true,Parker_249ee
Susan,Hess,19500521,true,Hess_67028
Kiara,Collier,19590521,true,Collier_354e5
Mr.,Martinez,19920216,true,Martinez_72931
Christopher,Ortega,19590618,true,Ortega_12782
Michael,Russell,20130120,false,Russell_c394c
Dwayne,Johnson,20061110,false,Johnson_9b695
Patty,Smith,19750827,true,Smith_c7677
Deanna,Sherman,19750425,true,Sherman_f0c23
Douglas,Francis,19921221,true,Francis_cdc60
Vicki,Diaz,19931005,true,Diaz_7a3e1
Robin,Phillips,19740715,true,Phillips_6c434
Travis,Rice,20060508,false,Rice_bd36e
Ashley,Rocha,19560911,true,Rocha_eee54
Sarah,Jacobson,19580309,true,Jacobson_e151e
Kayla,Shannon,19840517,true,Shannon_dd402
Sean,DDS,19600311,true,DDS_04168
Richard,Estrada,19921015,true,Estrada_0bf5b
Joseph,Torres,19550505,true,Torres_70cf6
Kim,Jones,19851102,true,Jones_d1c60
Melissa,Tanner,19890430,true,Tanner_e9916
Jackson,Cline,19710121,true,Cline_825fb
Sonya,Foster,19880910,true,Foster_16057
Allen,Williams,19971109,true,Williams_3e726
Mr.,Rivera,19510715,true,Rivera_36b74
Jamie,Silva,20060621,false,Silva_873a3
Kathleen,Moore,19520203,true,Moore_9e0f1
Evelyn,Pineda,19580204,true,Pineda_84e24
Kyle,Peters,19950825,true,Peters_3676a
Anthony,Cruz,19550222,true,Cruz_12d68
Eric,Flores,19820701,true,Flores_8a42c
Anna,Richardson,19670223,true,Richardson_ef158
Gary,Harper,19980111,true,Harper_87fb2
Linda,Johnson,19590729,true,Johnson_4b33c
Melissa,Smith,19971208,true,Smith_0332f
Kristen,Floyd,19930525,true,Floyd_e26d2
William,Diaz,19870216,true,Diaz_9d4b9
Benjamin,Smith,19871223,true,Smith_9625b
David,Glenn,20110615,false,Glenn_f0f4b
Dawn,Jones,20070302,false,Jones_542af
Joel,Smith,19710909,true,Smith_6b8ae
Mr.,MD,20051231,false,MD_95044
Joseph,Arnold,20050821,false,Arnold_17b49
Kyle,Long,19920713,true,Long_72e0c
Brittany,Day,20180522,false,Day_b17bd
Bobby,Ward,19641006,true,Ward_e1acd
Thomas,Lee,19961028,true,Lee_fd66e
Jennifer,Hansen,19630628,true,Hansen_416ee
Lisa,Murray,20110709,false,Murray_a7c9f
Meghan,Wade,19820915,true,Wade_3ed54
Tammie,Brooks,19620914,true,Brooks_85733
Maria,Bell,20181026,false,Bell_0fbb4
Allison,Livingston,19501201,true,Livingston_825b6
Chris,Hays,19510827,true,Hays_35ff9
Courtney,Mitchell,19811227,true,Mitchell_80622
Shawn,White,19600915,true,White_3ee53
Taylor,Gomez,19821022,true,Gomez_876bf
Jeremy,Rodriguez,19780828,true,Rodriguez_93ac7
April,Garcia,19871231,true,Garcia_26b55
Zachary,Watts,19841230,true,Watts_5567a
Sarah,Montoya,20001107,true,Montoya_8f16c
Jennifer,Barker,20110526,false,Barker_9fcd4
Sharon,Garza,20020830,true,Garza_40199
Tiffany,Stevens,19620523,true,Stevens_3549f
Ruben,Armstrong,20150910,false,Armstrong_d899e
Dr.,Spencer,19821229,true,Spencer_2ff50
Nicole,Ramsey,19700711,true,Ramsey_af857
Anne,Roy,19690827,true,Roy_a65d2
Lori,Sanchez,19980420,true,Sanchez_364a7
Allison,Chavez,19840818,true,Chavez_725b2
Marcus,Adams,19850122,true,Adams_8a756
Mary,Smith,19930717,true,Smith_54a4e
