first_name,last_name,birthday_formatted,above_18,membership_id
patty,smith,19750827,true,smith_c7677
sean,dds,19600311,true,dds_04168
richard,estrada,19921015,true,estrada_0bf5b
jackson,cline,19710121,true,cline_825fb
allen,williams,19971109,true,williams_3e726
eric,flores,19820701,true,flores_8a42c
anna,richardson,19670223,true,richardson_ef158
benjamin,smith,19871223,true,smith_9625b
taylor,gomez,19821022,true,gomez_876bf
jeremy,roiguez,19780828,true,roiguez_93ac7
april,garcia,19871231,true,garcia_26b55
sharon,garza,20020830,true,garza_40199
lori,sanchez,19980420,true,sanchez_364a7
joseph,reed,19511220,true,reed_3bc34
jason,armstrong,19921116,true,armstrong_e2fb8
jessica,allison,19721030,true,allison_0c21b
arthur,hall,19941103,true,hall_b302a
sherry,meza,19970904,true,meza_af7be
matthew,turner,19940707,true,turner_0303a
jeffrey,bauer,19660813,true,bauer_18f68
sophia,randolph,19500807,true,randolph_76c7a
marissa,matthews,19720221,true,matthews_2a414
samuel,thompson,19840403,true,thompson_16040
zachary,lee,19870704,true,lee_76cce
kara,pittman,19680525,true,pittman_44c4d
charles,ruiz,19680113,true,ruiz_1546f
rachel,shaw,19581223,true,shaw_45468
james,miller,19710831,true,miller_d11a8
gabriella,anthony,19970106,true,anthony_ebd30
misty,cantrell,19570303,true,cantrell_b19eb
kelly,guerrero,19970203,true,guerrero_d55cb
david,nichols,19620819,true,nichols_9226a
shawn,galloway,19850419,true,galloway_1a4d2
fernando,salazar,19720419,true,salazar_88b5f
dennis,sanford,19800806,true,sanford_c7e24
amanda,murphy,20000730,true,murphy_0851c
bobby,martin,20000331,true,martin_35f44
lauren,jones,19870724,true,jones_3cea3
vernon,bishop,19730710,true,bishop_b0506
phillip,meyers,19601022,true,meyers_2871d
jeremy,strickland,19501223,true,strickland_c13f0
robert,martin,19500718,true,martin_6f48d
marc,davis,19800520,true,davis_7d08d
william,taylor,19860131,true,taylor_4fbc5
alyssa,pierce,19680516,true,pierce_133dc
michael,brady,19500323,true,brady_bd431
james,rhodes,19771010,true,rhodes_df266
ryan,ramirez,19850425,true,ramirez_5ff32
stephen,thompson,19511112,true,thompson_52cd0
susan,williams,19760512,true,williams_446e0
nancy,aguilar,19950811,true,aguilar_ad5a0
jessica,williams,19730824,true,williams_b7835
dylan,johnson,19960107,true,johnson_d53b7
pamela,king,19930929,true,king_01148
robert,smith,19870424,true,smith_634dd
samantha,gonzalez,19980829,true,gonzalez_31e9a
terry,pierce,19640910,true,pierce_68d7c
jeffery,walker,19560624,true,walker_ba5b7
todd,alvarez,19741125,true,alvarez_7bc5d
brett,willis,19610908,true,willis_d0046
louis,klein,19651220,true,klein_43163
